"Forfatter-Escritor","Land-País","Tittel1-Título","1","Sjanger-Género","Oversetter-Traductor","Tittel2-Título","Utgivelsessted-Lugar de publicación","Utgivelsesår2-Año de publicación","Forlag-Editorial","For- eller Etterord-Prólogo o Epílogo","Språk-Idioma"
"Andahazi, Federico (1963)","Argentina","El anatomista","1997","Roman/Novela","Rugstad, Christian","Anatomen","Oslo","1998","Cappelen","","Norsk bokmål/Noruego"
"Aira, César (1949)","Argentina","Un episodio en la vida del pintor viajero","2000","Roman/Novela","Risvik, Kari og/y Kjell Risvik","En episode i en omreisende malers liv","Oslo","2010","Hovde&Brekke","","Norsk bokmål/Noruego"
"Bioy Casares, Adolfo (1914-1999)","Argentina","La invención de Morel","1940","Roman/Novela","Rugstad, Christian","Morels oppfinnelse ","Oslo","2010","Gyldendal","","Norsk bokmål/Noruego"
"Borges, Jorge Luis (1899-1986)","Argentina","Ficciones","1944","Novelle/Cuento","Aasen, Finn","Labyrinter","Oslo","1964, 1993, 1994","Cappelen","Enzensberger, Hans Magnus (Etterord/Epílogo)","Norsk bokmål/Noruego"
"Borges, Jorge Luis (1899-1986)","Argentina","Historia universal de la infamia","1935","Novelle/Cuento","Risvik, Kari og/y Kjell Risvik","Samlede fiksjoner","Oslo","2010, 2013","Agora","","Norsk bokmål/Noruego"
"Borges, Jorge Luis (1899-1986)","Argentina","Ficciones ","1944","Novelle/Cuento","Risvik, Kari og/y Kjell Risvik","Samlede fiksjoner","Oslo","2010, 2013","Agora","","Norsk bokmål/Noruego"
"Borges, Jorge Luis (1899-1986)","Argentina","El Aleph","1949","Novelle/Cuento","Risvik, Kari og/y Kjell Risvik","Samlede fiksjoner","Oslo","2010, 2013","Agora","","Norsk bokmål/Noruego"
"Borges, Jorge Luis (1899-1986)","Argentina","El hacedor","1960","Lyrikk/Poesía","Risvik, Kari og/y Kjell Risvik","Samlede fiksjoner","Oslo","2010, 2013","Agora","","Norsk bokmål/Noruego"
"Borges, Jorge Luis (1899-1986)","Argentina","Elogio de la sombra","1969","Lyrikk/Poesía","Risvik, Kari og/y Kjell Risvik","Samlede fiksjoner","Oslo","2010, 2013","Agora","","Norsk bokmål/Noruego"
"Borges, Jorge Luis (1899-1986)","Argentina","El informe Brodie","1970","Novelle/Cuento","Risvik, Kari og/y Kjell Risvik","Samlede fiksjoner","Oslo","2010, 2013","Agora","","Norsk bokmål/Noruego"
"Borges, Jorge Luis (1899-1986)","Argentina","El libro de arena","1975","Novelle/Cuento","Risvik, Kari og/y Kjell Risvik","Samlede fiksjoner","Oslo","2010, 2013","Agora","","Norsk bokmål/Noruego"
"Borges, Jorge Luis (1899-1986)","Argentina","La memoria de Shakespeare","1983","Novelle/Cuento","Risvik, Kari og/y Kjell Risvik","Samlede fiksjoner","Oslo","2010, 2013","Agora","","Norsk bokmål/Noruego"
"Cortázar, Julio (1914-1984)","Argentina","Bestiario","1951","Novelle/Cuento","Risvik, Kjell - Språkrevidert av Christian Rugstad (2014)","Seremonier: noveller","Oslo","1970, 1994, 2014","Gyldendal","Gisle Selnes (2014)","Norsk bokmål/Noruego"
"Cortázar, Julio (1914-1984)","Argentina","Final del juego","1956","Novelle/Cuento","Risvik, Kjell - Språkrevidert av Christian Rugstad (2014)","Seremonier: noveller","Oslo","1970, 1994, 2014","Gyldendal","Gisle Selnes (2014)","Norsk bokmål/Noruego"
"Cortázar, Julio (1914-1984)","Argentina","Las armas secretas","1959","Novelle/Cuento","Risvik, Kjell - Språkrevidert av Christian Rugstad (2014)","Seremonier: noveller ","Oslo","1970, 1994, 2014","Gyldendal","Gisle Selnes (2014)","Norsk bokmål/Noruego"
"Cortázar, Julio (1914-1984)","Argentina","Todos los fuegos, el fuego","1966","Novelle/Cuento","Risvik, Kjell - Språkrevidert av Christian Rugstad (2014)","Seremonier: noveller","Oslo","1970, 1994, 2014","Gyldendal","Gisle Selnes (2014)","Norsk bokmål/Noruego"
"Cortázar, Julio (1914-1984)","Argentina","Rayuela","1963","Roman/Novela","Rugstad, Christian","Paradis","Oslo","1999","Solum","","Norsk bokmål/Noruego"
"Martínez, Tomás Eloy (1934-2010)","Argentina","Santa Evita","1995","Roman/Novela","Kemény, Kari","Santa Evita","Oslo","1997","Aschehoug","","Norsk bokmål/Noruego"
"Martínez, Guillermo (1962)","Argentina","Acerca de Roderer","1996","Roman/Novela","Risvik, Kari og/y Kjell Risvik","Om Roderer","Oslo","1995","Pax","","Norsk bokmål/Noruego"
